t (s),V (mV)
0,12.3326
0.974,12.3074
1.952,12.286
2.952,12.2633
3.952,12.2394
4.952,12.2168
5.952,12.1931
6.951,12.1699
7.952,12.1467
8.951,12.1234
9.952,12.0994
10.952,12.0775
11.952,12.0523
12.951,12.0296
13.951,12.0067
14.952,11.9835
15.952,11.9603
16.951,11.9364
17.952,11.9136
18.952,11.8905
19.952,11.8678
20.952,11.8451
21.952,11.8225
22.952,11.799
23.952,11.7769
24.952,11.7542
25.952,11.7316
26.952,11.7091
27.952,11.6863
28.952,11.6639
29.952,11.6415
30.951,11.6182
31.952,11.5962
32.951,11.5738
33.952,11.5516
34.952,11.5292
35.952,11.507
36.952,11.4851
37.952,11.4639
38.952,11.4412
39.951,11.4191
40.952,11.3967
41.952,11.3745
42.952,11.352
43.951,11.3311
44.952,11.3095
45.952,11.2879
46.952,11.2647
47.952,11.2438
48.952,11.2222
49.952,11.2002
50.952,11.1785
51.952,11.1575
52.952,11.1355
53.952,11.1136
54.952,11.0919
55.952,11.0704
56.952,11.0493
57.951,11.0275
58.952,11.0071
59.952,10.9861
60.951,10.9636
61.952,10.9435
62.952,10.9229
63.952,10.9016
64.952,10.8811
65.952,10.8595
66.951,10.8385
67.952,10.8176
68.951,10.7975
69.952,10.7768
70.952,10.7556
71.952,10.7348
72.951,10.7143
73.952,10.6939
74.952,10.6726
75.952,10.6527
76.952,10.6322
77.952,10.6121
78.951,10.5912
79.951,10.5708
80.951,10.5507
81.951,10.5304
82.951,10.5103
83.951,10.4895
84.951,10.4699
85.951,10.4497
86.951,10.4301
87.951,10.4098
88.951,10.39
89.95,10.3709
90.95,10.3499
91.951,10.33
92.951,10.3104
93.951,10.2906
94.951,10.2711
95.951,10.2516
96.951,10.232
97.951,10.2131
98.951,10.1931
99.951,10.1735
100.951,10.1546
101.95,10.1346
102.951,10.1163
103.951,10.0969
104.951,10.0777
105.951,10.0586
106.951,10.0383
107.951,10.0196
108.95,10.0006
109.952,9.9804
110.951,9.9632
111.952,9.9422
112.952,9.9239
113.952,9.9064
114.952,9.8863
115.952,9.8686
116.952,9.8486
117.952,9.8294
118.951,9.8114
119.951,9.7935
120.952,9.7743
121.952,9.7566
122.952,9.7364
123.952,9.7184
124.952,9.6997
125.952,9.6824
126.952,9.664
127.952,9.6454
128.952,9.6273
129.952,9.6082
130.952,9.5896
131.952,9.5715
132.952,9.5538
133.952,9.5345
134.952,9.5168
135.952,9.4993
136.952,9.4813
137.952,9.4632
138.952,9.4452
139.952,9.4281
140.952,9.4107
141.952,9.392
142.952,9.3747
143.952,9.3574
144.952,9.3396
145.952,9.3223
146.952,9.304
147.952,9.2861
148.952,9.2686
149.952,9.2502
150.952,9.2344
151.952,9.2147
152.952,9.1985
153.952,9.1804
154.951,9.163
155.952,9.1455
156.952,9.1287
157.952,9.1109
158.952,9.0939
159.952,9.0772
160.952,9.0594
161.952,9.043
162.952,9.0261
163.952,9.0085
164.952,8.9918
165.952,8.9746
166.952,8.9592
167.952,8.9418
168.952,8.9243
169.952,8.9079
170.952,8.8914
171.952,8.8748
172.952,8.8579
173.952,8.8422
174.952,8.8243
175.952,8.8079
176.952,8.7922
177.952,8.7757
178.952,8.7597
179.952,8.7427
180.951,8.7266
181.952,8.7094
182.952,8.6937
183.952,8.6775
184.952,8.6616
185.952,8.6458
186.952,8.6297
187.952,8.6133
188.952,8.5977
189.952,8.5815
190.952,8.5661
191.952,8.5499
192.952,8.5341
193.952,8.5172
194.952,8.5015
195.953,8.4854
196.952,8.4689
197.952,8.4533
198.952,8.436
199.952,8.4212
200.952,8.4048
201.952,8.3895
202.952,8.3736
203.952,8.358
204.952,8.3422
205.952,8.3267
206.952,8.3113
207.952,8.2959
208.952,8.2806
209.952,8.2647
210.952,8.2494
211.952,8.2341
212.952,8.2185
213.952,8.203
214.952,8.1878
215.952,8.1719
216.952,8.1567
217.952,8.1424
218.952,8.1268
219.952,8.1109
220.952,8.0959
221.952,8.0805
222.952,8.0654
223.951,8.0504
224.952,8.036
225.952,8.0208
226.952,8.0064
227.952,7.9914
228.952,7.9761
229.952,7.961
230.952,7.9465
231.952,7.9317
232.952,7.917
233.952,7.9018
234.952,7.8881
235.952,7.8726
236.952,7.8583
237.952,7.8448
238.952,7.8298
239.952,7.8148
240.952,7.8009
241.952,7.7869
242.952,7.7727
243.952,7.7582
244.952,7.7449
245.952,7.7301
246.952,7.7153
247.952,7.7018
248.952,7.6874
249.952,7.6737
250.952,7.6597
251.952,7.646
252.952,7.6316
253.952,7.6175
254.952,7.604
255.952,7.5894
