t (s),V (mV)
312.91,11.8276
313.91,11.8232
314.91,11.8183
315.91,11.8133
316.91,11.8077
317.91,11.8026
318.909,11.798
319.91,11.793
320.91,11.7884
321.91,11.7845
322.91,11.78
323.91,11.7758
324.91,11.7713
325.91,11.7664
326.91,11.7624
327.91,11.7579
328.909,11.7531
329.91,11.7489
330.91,11.7452
331.91,11.7407
332.909,11.7358
333.91,11.7317
334.91,11.727
335.91,11.7226
336.91,11.7172
337.91,11.7125
338.909,11.7072
339.91,11.7011
340.91,11.6962
341.91,11.6915
342.91,11.6863
343.91,11.6814
344.91,11.6766
345.91,11.6715
346.91,11.667
347.91,11.6621
348.91,11.6578
349.909,11.6523
350.91,11.6469
351.91,11.6411
352.91,11.6371
353.91,11.6331
354.909,11.6277
355.91,11.6234
356.91,11.6189
357.91,11.614
358.91,11.6087
359.91,11.6048
360.909,11.6009
361.91,11.5957
362.91,11.5919
363.91,11.5883
364.91,11.5826
365.91,11.5783
366.91,11.5738
367.91,11.5691
368.91,11.5666
369.91,11.561
370.91,11.5573
371.909,11.5527
372.91,11.5487
373.91,11.5439
374.91,11.54
375.91,11.5353
376.91,11.5311
377.91,11.526
378.91,11.522
379.91,11.5159
380.909,11.5104
381.91,11.5049
382.91,11.5011
383.91,11.4959
384.91,11.4914
385.91,11.4862
386.91,11.4827
387.91,11.4775
388.91,11.4715
389.91,11.468
390.91,11.4634
391.91,11.4578
392.91,11.4536
393.91,11.4503
394.91,11.4454
395.91,11.4405
396.91,11.4361
397.909,11.4322
398.91,11.4281
399.91,11.4241
400.91,11.4194
401.91,11.4148
402.91,11.4118
403.91,11.4069
404.91,11.4034
405.91,11.3988
406.91,11.3951
407.91,11.3901
408.91,11.3849
409.91,11.3803
410.91,11.3755
411.91,11.3701
412.91,11.3657
413.91,11.361
414.91,11.3562
415.909,11.3523
416.91,11.3464
417.91,11.3417
418.91,11.3364
419.91,11.3321
420.91,11.3272
421.91,11.3236
422.909,11.3196
423.91,11.3153
424.91,11.3121
425.91,11.3079
426.91,11.3036
427.91,11.3002
428.91,11.2953
429.91,11.2918
430.91,11.2875
431.91,11.2833
432.91,11.2792
433.91,11.2743
434.91,11.2706
435.91,11.2653
436.91,11.2596
437.91,11.2552
438.91,11.2507
439.91,11.2464
440.91,11.2418
441.91,11.2364
