t (s),V (mV)
0,13.3383
0.971,13.3253
1.909,13.3102
2.85,13.2972
3.846,13.2816
4.846,13.2664
5.846,13.2508
6.846,13.2383
7.846,13.221
8.846,13.2077
9.846,13.1909
10.846,13.1791
11.846,13.1611
12.846,13.1461
13.846,13.13
14.845,13.1142
15.845,13.0991
16.845,13.0837
17.846,13.0682
18.846,13.0512
19.846,13.037
20.846,13.0203
21.846,13.0058
22.846,12.9886
23.846,12.9732
24.846,12.9582
25.846,12.9426
26.846,12.9266
27.846,12.912
28.845,12.8969
29.846,12.8815
30.846,12.8664
31.846,12.8496
32.846,12.8348
33.846,12.8193
34.846,12.8038
35.846,12.7883
36.846,12.7719
37.846,12.7561
38.846,12.7404
39.846,12.7244
40.846,12.7091
41.846,12.6939
42.846,12.6784
43.846,12.6626
44.846,12.6485
45.846,12.6326
46.846,12.617
47.846,12.6021
48.846,12.587
49.846,12.5716
50.845,12.5562
51.846,12.542
52.846,12.5269
53.846,12.5122
54.846,12.4966
55.846,12.4824
56.846,12.4678
57.846,12.4528
58.846,12.4377
59.846,12.4233
60.846,12.4086
61.846,12.3924
62.846,12.3777
63.846,12.3636
64.846,12.3481
65.846,12.3332
66.846,12.318
67.846,12.3034
68.846,12.2899
69.846,12.2761
70.846,12.2603
71.845,12.2448
72.846,12.2311
73.846,12.2182
74.846,12.2016
75.846,12.1875
76.846,12.1722
77.845,12.1585
78.846,12.1442
79.846,12.1305
80.846,12.1164
81.846,12.1008
82.846,12.0874
83.846,12.0736
84.846,12.0598
85.845,12.0441
86.845,12.0296
87.846,12.0158
88.846,12.0016
89.846,11.9873
90.846,11.9733
91.846,11.959
92.846,11.9437
93.846,11.9306
94.846,11.9159
95.845,11.9027
96.846,11.8882
97.846,11.8747
98.846,11.8609
99.846,11.8464
100.846,11.8331
101.846,11.8196
102.846,11.8058
103.846,11.7911
104.846,11.7783
105.846,11.7648
106.845,11.75
107.845,11.7361
108.846,11.7229
109.846,11.7093
110.846,11.6954
111.846,11.6818
112.846,11.6683
113.845,11.6554
114.846,11.6404
115.846,11.627
116.846,11.6134
117.846,11.5998
118.845,11.5856
119.846,11.5725
120.846,11.5591
121.846,11.5456
122.846,11.5324
123.846,11.5181
124.846,11.5042
125.846,11.4911
126.846,11.4784
127.846,11.4645
128.846,11.4519
129.845,11.4386
130.846,11.4244
131.846,11.4115
