t (s),V (mV)
132.846,11.3974
133.846,11.3846
134.846,11.3722
135.846,11.3587
136.846,11.3455
137.846,11.3326
138.846,11.3196
139.846,11.3064
140.846,11.293
141.846,11.2807
142.846,11.267
143.846,11.2538
144.846,11.2414
145.846,11.2297
146.846,11.2156
147.846,11.2027
148.846,11.1905
149.846,11.177
150.846,11.165
151.846,11.1531
152.846,11.1401
153.846,11.1269
154.846,11.1132
155.846,11.1003
156.846,11.0881
157.846,11.0755
158.845,11.0624
159.846,11.0503
160.846,11.0372
161.846,11.024
162.846,11.0111
163.845,10.9997
164.846,10.9877
165.846,10.9729
166.846,10.9611
167.846,10.9491
168.846,10.9371
169.846,10.9237
170.846,10.9108
171.845,10.8976
172.846,10.8862
173.846,10.8723
174.846,10.8605
175.846,10.8482
176.846,10.8355
177.846,10.8231
178.846,10.8115
179.846,10.7978
180.846,10.7855
181.846,10.7739
182.846,10.7603
183.846,10.7476
184.846,10.7358
185.846,10.7234
186.845,10.711
187.846,10.699
188.846,10.6869
189.846,10.6747
190.846,10.6626
191.846,10.6505
192.846,10.6378
193.846,10.6261
194.845,10.6135
195.845,10.601
196.845,10.5894
197.845,10.5781
198.845,10.566
199.845,10.5534
200.845,10.542
201.845,10.53
202.845,10.5181
203.844,10.5069
204.845,10.4945
205.845,10.4826
206.845,10.4715
207.844,10.4595
208.845,10.4484
209.845,10.4377
210.845,10.4258
211.844,10.4161
212.845,10.3995
213.845,10.3885
214.845,10.3783
215.844,10.3656
216.845,10.3548
217.845,10.3444
218.845,10.3319
219.844,10.3209
220.844,10.3077
221.844,10.2969
222.844,10.2855
223.845,10.2737
224.845,10.2628
225.845,10.2509
226.845,10.2393
227.845,10.2283
228.844,10.2153
229.844,10.2041
230.845,10.1926
231.845,10.1817
232.845,10.1692
233.845,10.1573
234.845,10.1472
235.844,10.1344
236.845,10.1235
237.845,10.1128
238.844,10.1003
239.845,10.0892
240.845,10.0779
241.845,10.0666
242.845,10.0549
243.845,10.0443
244.845,10.033
245.845,10.0214
246.845,10.0099
247.846,9.9983
248.845,9.986
249.846,9.9766
250.847,9.965
251.846,9.9536
252.846,9.9424
253.846,9.9316
254.846,9.921
255.847,9.9104
256.846,9.899
257.846,9.8889
258.846,9.8775
259.846,9.8669
260.846,9.8561
261.846,9.8461
262.846,9.835
263.846,9.8243
264.846,9.8127
265.846,9.8025
266.846,9.7912
267.846,9.7813
268.847,9.7692
269.846,9.7583
270.846,9.7494
271.846,9.7378
272.846,9.7263
273.847,9.7165
274.846,9.7056
275.846,9.6954
276.846,9.6837
277.846,9.6742
278.846,9.6625
279.846,9.6528
280.847,9.6414
281.846,9.6324
282.846,9.6212
283.846,9.6108
284.846,9.6005
285.845,9.5911
286.846,9.579
287.847,9.5678
288.846,9.5579
289.846,9.5478
290.846,9.5368
291.846,9.5267
292.846,9.5168
293.846,9.5061
294.846,9.496
295.846,9.4852
296.846,9.4752
297.846,9.4643
298.846,9.4546
299.846,9.443
300.846,9.4328
301.846,9.4221
302.846,9.4122
303.846,9.4012
304.846,9.3925
305.846,9.382
306.846,9.3714
307.846,9.3613
308.846,9.3512
309.846,9.3406
310.846,9.33
311.846,9.3206
312.846,9.3114
313.846,9.3001
314.846,9.291
315.846,9.2802
316.846,9.271
317.846,9.2603
318.846,9.2502
319.846,9.2409
320.846,9.2304
321.846,9.2205
322.845,9.2098
323.846,9.2007
324.846,9.1907
325.846,9.1807
326.846,9.1716
327.846,9.1601
328.846,9.1507
329.846,9.1414
330.846,9.1316
331.846,9.1219
332.846,9.1113
333.846,9.1018
334.846,9.0922
335.846,9.0821
336.846,9.0728
337.846,9.0624
338.846,9.0528
339.846,9.0434
340.847,9.0337
341.846,9.0231
342.846,9.0136
343.846,9.0037
344.846,8.9942
345.846,8.9841
346.846,8.9748
347.846,8.9645
348.846,8.9551
349.846,8.9465
350.847,8.9358
351.846,8.9264
352.846,8.9167
353.846,8.9067
354.846,8.8971
355.846,8.8882
356.846,8.8785
357.846,8.8695
358.845,8.8592
359.846,8.8494
360.846,8.841
361.846,8.8316
362.846,8.8218
363.846,8.813
364.846,8.803
365.846,8.7947
366.846,8.7849
367.846,8.775
368.846,8.7663
369.846,8.7576
370.846,8.7484
371.846,8.738
372.846,8.7302
373.846,8.7207
374.846,8.711
375.846,8.7019
376.846,8.693
377.846,8.6835
378.846,8.6743
379.846,8.6656
380.846,8.656
381.846,8.6475
382.846,8.6387
383.846,8.6292
384.846,8.62
385.846,8.6103
386.846,8.6014
387.846,8.5927
388.846,8.5822
389.846,8.575
390.846,8.5643
391.846,8.5552
392.846,8.5462
393.846,8.5377
394.846,8.5287
395.846,8.5194
396.846,8.5103
397.846,8.5014
398.846,8.4925
399.846,8.4833
400.846,8.4745
401.846,8.4657
402.845,8.4565
403.846,8.4472
404.846,8.4385
405.846,8.4293
406.846,8.4211
407.846,8.4121
408.846,8.4033
409.846,8.3938
410.846,8.3847
411.846,8.3756
412.846,8.367
413.846,8.3578
414.846,8.348
415.846,8.3406
416.847,8.3314
417.846,8.3225
418.846,8.3139
419.846,8.3056
420.846,8.2963
421.846,8.2878
422.846,8.2796
423.846,8.2696
424.846,8.263
425.846,8.2538
426.846,8.2467
427.846,8.2374
428.846,8.2289
429.846,8.2201
430.846,8.2114
431.846,8.2032
432.846,8.1948
433.846,8.1863
434.846,8.1778
435.846,8.1697
436.846,8.161
437.846,8.1524
438.846,8.1442
439.846,8.1362
440.846,8.1273
441.846,8.1193
442.846,8.1109
443.846,8.1014
444.846,8.0932
445.846,8.0835
446.846,8.0746
447.846,8.0675
448.846,8.0578
449.846,8.0494
450.846,8.0394
451.846,8.0316
452.846,8.0227
453.846,8.0144
454.846,8.0056
455.846,7.9974
456.846,7.9884
457.846,7.9795
458.846,7.9725
459.846,7.964
460.846,7.9548
461.846,7.946
462.846,7.9386
463.846,7.929
464.846,7.9201
465.846,7.9124
466.846,7.9035
467.846,7.8956
468.846,7.8866
469.846,7.8788
470.846,7.8704
471.847,7.8627
472.846,7.8535
473.846,7.8461
474.846,7.8386
475.846,7.8297
476.846,7.8223
477.846,7.8138
478.846,7.8052
479.846,7.7984
480.846,7.7901
481.846,7.7829
482.846,7.7731
483.846,7.7667
484.846,7.7581
485.846,7.7506
486.846,7.7426
487.846,7.7346
488.846,7.7264
489.846,7.7193
490.846,7.7111
491.846,7.7024
492.847,7.6959
493.846,7.6876
494.846,7.6804
495.846,7.6719
496.846,7.6643
497.846,7.6567
498.846,7.6487
499.846,7.64
500.846,7.6328
501.846,7.623
502.846,7.6159
503.846,7.6082
504.846,7.5993
505.846,7.5915
506.847,7.5825
507.847,7.5748
508.846,7.5673
509.846,7.5586
510.846,7.5486
511.846,7.542
512.846,7.5345
513.846,7.5263
514.846,7.5182
515.846,7.5093
516.846,7.5017
517.846,7.4941
518.846,7.4848
519.846,7.4768
520.846,7.4702
521.846,7.4619
522.846,7.454
523.846,7.4466
524.845,7.4382
525.846,7.4304
